Sn,Task Name,Activity Type,Planned Start,Planned Finish,Actual Start,Actual Finish,PGMA,Parent WBS Level
3357,Backfilling,CIV,2024-05-03,2024-05-17,,,,1.9.9.5.1(First ID Fan foundations)
3358,Finishing Work,CIV,2024-05-18,2024-05-27,,,,1.9.9.5.1(First ID Fan foundations)
3359,Second ID Fan foundation,CIV,2024-01-30,2024-06-27,,,,1.9.9.5(Civil Work)
3360,Excavation,CIV,2024-01-30,2024-02-13,,,,1.9.9.5.2(Second ID Fan foundation)
3361,RCC Bottom Raft including PCC,CIV,2024-02-14,2024-03-09,,,,1.9.9.5.2(Second ID Fan foundation)
3362,RCC wall,CIV,2024-03-10,2024-04-13,,,,1.9.9.5.2(Second ID Fan foundation)
3363,RCC Top Deck,CIV,2024-04-14,2024-05-28,,,,1.9.9.5.2(Second ID Fan foundation)
3364,Backfilling,CIV,2024-05-29,2024-06-12,,,,1.9.9.5.2(Second ID Fan foundation)
3365,Finishing Work,CIV,2024-06-13,2024-06-27,,,,1.9.9.5.2(Second ID Fan foundation)
3366,First FD Fan Foundation,CIV,2023-11-21,2024-10-20,,,,1.9.9.5(Civil Work)
3367,Excavation,CIV,2023-11-21,2023-12-05,,,,1.9.9.5.3(First FD Fan Foundation)
3368,RCC bottom Raft including PCC,CIV,2023-12-06,2023-12-30,,,,1.9.9.5.3(First FD Fan Foundation)
3369,RCC Top Deck,CIV,2024-08-09,2024-10-02,,,,1.9.9.5.3(First FD Fan Foundation)
3370,Backfilling,CIV,2024-10-03,2024-10-12,,,,1.9.9.5.3(First FD Fan Foundation)
3371,Finishing Work,CIV,2024-10-13,2024-10-20,,,,1.9.9.5.3(First FD Fan Foundation)
3372,Second FD Fan Foundation,CIV,2023-12-26,2025-07-09,,,,1.9.9.5(Civil Work)
3373,Excavation,CIV,2023-12-26,2024-01-09,,,,1.9.9.5.4(Second FD Fan Foundation)
3374,RCC bottom Raft including PCC,CIV,2024-01-10,2024-02-03,,,,1.9.9.5.4(Second FD Fan Foundation)
3375,RCC Top Deck,CIV,2025-05-07,2025-06-25,,,,1.9.9.5.4(Second FD Fan Foundation)
3376,Backfilling,CIV,2025-06-26,2025-07-04,,,,1.9.9.5.4(Second FD Fan Foundation)
3377,Finishing Work,CIV,2025-07-05,2025-07-09,,,,1.9.9.5.4(Second FD Fan Foundation)
3378,First PA Fan Foundation,CIV,2023-08-13,2024-11-19,,,,1.9.9.5(Civil Work)
3379,Excavation,CIV,2023-08-13,2023-08-27,,,,1.9.9.5.5(First PA Fan Foundation)
3380,RCC bottom Raft including PCC,CIV,2023-08-28,2023-09-21,,,,1.9.9.5.5(First PA Fan Foundation)
3381,RCC Top Deck,CIV,2024-08-27,2024-10-30,,,,1.9.9.5.5(First PA Fan Foundation)
3382,Backfilling,CIV,2024-10-31,2024-11-10,,,,1.9.9.5.5(First PA Fan Foundation)
3383,Finishing Work,CIV,2024-11-11,2024-11-19,,,,1.9.9.5.5(First PA Fan Foundation)
3384,Second PA Fan Foundation,CIV,2023-09-17,2025-07-27,,,,1.9.9.5(Civil Work)
3385,Excavation,CIV,2023-09-17,2023-10-01,,,,1.9.9.5.6(Second PA Fan Foundation)
3386,RCC bottom Raft including PCC,CIV,2023-10-02,2023-10-26,,,,1.9.9.5.6(Second PA Fan Foundation)
3387,RCC Top Deck,CIV,2025-05-04,2025-07-07,,,,1.9.9.5.6(Second PA Fan Foundation)
3388,Backfilling,CIV,2025-07-08,2025-07-18,,,,1.9.9.5.6(Second PA Fan Foundation)
3389,Finishing Work,CIV,2025-07-19,2025-07-27,,,,1.9.9.5.6(Second PA Fan Foundation)
3390,SA fan Foundation,CIV,2025-05-04,2025-07-09,,,,1.9.9.5(Civil Work)
3391,Excavation,CIV,2025-05-04,2025-05-11,,,,1.9.9.5.7(SA fan Foundation)
3392,RCC bottom Raft including PCC,CIV,2025-05-12,2025-05-26,,,,1.9.9.5.7(SA fan Foundation)
3393,RCC Top Deck,CIV,2025-05-27,2025-06-28,,,,1.9.9.5.7(SA fan Foundation)
3394,Backfilling,CIV,2025-06-29,2025-07-05,,,,1.9.9.5.7(SA fan Foundation)
3395,Finishing Work,CIV,2025-07-06,2025-07-09,,,,1.9.9.5.7(SA fan Foundation)
3396,Supply,SUP,2023-01-15,2025-04-22,,,,1.9.9(Various Fans)
