Sn,Task Name,Activity Type,Planned Start,Planned Finish,Actual Start,Actual Finish,PGMA,Parent WBS Level
1173,Dispatch,DIS,2024-08-29,2024-09-27,,,08006,1.9.2.1.1.5.3(FURNACE INTER BUCKSTAYS (PGMA-8006))
1174,FURNACE LOWER BUCKSTAYS (PGMA-8007),SUP,2023-01-25,2024-10-27,,,8007,1.9.2.1.1.5(Buckstays and Framing (PG-08))
1175,Engineering,ENG,2023-01-25,2023-12-05,,,08007,1.9.2.1.1.5.4(FURNACE LOWER BUCKSTAYS (PGMA-8007))
1176,Manufacturing,MFG,2023-12-06,2024-09-27,,,08007,1.9.2.1.1.5.4(FURNACE LOWER BUCKSTAYS (PGMA-8007))
1177,Dispatch,DIS,2024-09-28,2024-10-27,,,08007,1.9.2.1.1.5.4(FURNACE LOWER BUCKSTAYS (PGMA-8007))
1178,FURNACE REAR ARCH BUCKSTAYS (PGMA-8111),SUP,2023-01-25,2024-08-29,,,8111,1.9.2.1.1.5(Buckstays and Framing (PG-08))
1179,Engineering,ENG,2023-01-25,2023-11-05,,,08111,1.9.2.1.1.5.5(FURNACE REAR ARCH BUCKSTAYS (PGMA-8111))
1180,Manufacturing,MFG,2023-11-06,2024-07-30,,,08111,1.9.2.1.1.5.5(FURNACE REAR ARCH BUCKSTAYS (PGMA-8111))
1181,Dispatch,DIS,2024-07-31,2024-08-29,,,08111,1.9.2.1.1.5.5(FURNACE REAR ARCH BUCKSTAYS (PGMA-8111))
1182,UPPER BACK PASS BUCKSTAY (PGMA-8501),SUP,2023-01-25,2024-03-29,,,8501,1.9.2.1.1.5(Buckstays and Framing (PG-08))
1183,Engineering,ENG,2023-01-25,2023-08-14,,,08501,1.9.2.1.1.5.6(UPPER BACK PASS BUCKSTAY (PGMA-8501))
1184,Manufacturing,MFG,2023-08-15,2024-02-28,,,08501,1.9.2.1.1.5.6(UPPER BACK PASS BUCKSTAY (PGMA-8501))
1185,Dispatch,DIS,2024-02-29,2024-03-29,,,08501,1.9.2.1.1.5.6(UPPER BACK PASS BUCKSTAY (PGMA-8501))
1186,FURNACE BACK PASS BUCKSTAYS -SIDE (PGMA-8503),SUP,2023-01-25,2024-03-29,,,8503,1.9.2.1.1.5(Buckstays and Framing (PG-08))
1187,Engineering,ENG,2023-01-25,2023-08-14,,,08503,1.9.2.1.1.5.7(FURNACE BACK PASS BUCKSTAYS -SIDE (PGMA-8503))
1188,Manufacturing,MFG,2023-08-15,2024-02-28,,,08503,1.9.2.1.1.5.7(FURNACE BACK PASS BUCKSTAYS -SIDE (PGMA-8503))
1189,Dispatch,DIS,2024-02-29,2024-03-29,,,08503,1.9.2.1.1.5.7(FURNACE BACK PASS BUCKSTAYS -SIDE (PGMA-8503))
1190,FURNACE KEY BUCKSTAYS - UPPER (PGMA-8901),SUP,2023-01-25,2024-03-29,,,8901,1.9.2.1.1.5(Buckstays and Framing (PG-08))
1191,Engineering,ENG,2023-01-25,2023-08-14,,,08901,1.9.2.1.1.5.8(FURNACE KEY BUCKSTAYS - UPPER (PGMA-8901))
1192,Manufacturing,MFG,2023-08-15,2024-02-28,,,08901,1.9.2.1.1.5.8(FURNACE KEY BUCKSTAYS - UPPER (PGMA-8901))
1193,Dispatch,DIS,2024-02-29,2024-03-29,,,08901,1.9.2.1.1.5.8(FURNACE KEY BUCKSTAYS - UPPER (PGMA-8901))
1194,EXPN. MOVEMENT MEASUREMENT COMPONENTS (PGMA-8910),SUP,2023-01-25,2024-05-16,,,8910,1.9.2.1.1.5(Buckstays and Framing (PG-08))
1195,Engineering,ENG,2023-01-25,2023-08-27,,,08910,1.9.2.1.1.5.9(EXPN. MOVEMENT MEASUREMENT COMPONENTS (PGMA-8910))
1196,Manufacturing,MFG,2023-08-28,2024-04-16,,,08910,1.9.2.1.1.5.9(EXPN. MOVEMENT MEASUREMENT COMPONENTS (PGMA-8910))
1197,Dispatch,DIS,2024-04-17,2024-05-16,,,08910,1.9.2.1.1.5.9(EXPN. MOVEMENT MEASUREMENT COMPONENTS (PGMA-8910))
1198,BULKED B.P.S ITEMS FOR UPPER BUCKSTAYS (PGMA-8911),SUP,2023-01-25,2024-03-29,,,8911,1.9.2.1.1.5(Buckstays and Framing (PG-08))
1199,Engineering,ENG,2023-01-25,2023-08-14,,,08911,1.9.2.1.1.5.10(BULKED B.P.S ITEMS FOR UPPER BUCKSTAYS (PGMA-8911))
1200,Manufacturing,MFG,2023-08-15,2024-02-28,,,08911,1.9.2.1.1.5.10(BULKED B.P.S ITEMS FOR UPPER BUCKSTAYS (PGMA-8911))
1201,Dispatch,DIS,2024-02-29,2024-03-29,,,08911,1.9.2.1.1.5.10(BULKED B.P.S ITEMS FOR UPPER BUCKSTAYS (PGMA-8911))
1202,BULKED B.P.S ITEMS FOR INTERMEDIATE BUCKSTAYS (PGMA-8912),SUP,2023-01-25,2024-09-27,,,8912,1.9.2.1.1.5(Buckstays and Framing (PG-08))
1203,Engineering,ENG,2023-01-25,2023-11-20,,,08912,1.9.2.1.1.5.11(BULKED B.P.S ITEMS FOR INTERMEDIATE BUCKSTAYS (PGMA-8912))
1204,Manufacturing,MFG,2023-11-21,2024-08-28,,,08912,1.9.2.1.1.5.11(BULKED B.P.S ITEMS FOR INTERMEDIATE BUCKSTAYS (PGMA-8912))
1205,Dispatch,DIS,2024-08-29,2024-09-27,,,08912,1.9.2.1.1.5.11(BULKED B.P.S ITEMS FOR INTERMEDIATE BUCKSTAYS (PGMA-8912))
1206,BULKED B.P.S ITEMS FOR LOWER BUCKSTAYS (PGMA-8913),SUP,2023-01-25,2024-10-27,,,8913,1.9.2.1.1.5(Buckstays and Framing (PG-08))
1207,Engineering,ENG,2023-01-25,2023-12-05,,,08913,1.9.2.1.1.5.12(BULKED B.P.S ITEMS FOR LOWER BUCKSTAYS (PGMA-8913))
1208,Manufacturing,MFG,2023-12-06,2024-09-27,,,08913,1.9.2.1.1.5.12(BULKED B.P.S ITEMS FOR LOWER BUCKSTAYS (PGMA-8913))
1209,Dispatch,DIS,2024-09-28,2024-10-27,,,08913,1.9.2.1.1.5.12(BULKED B.P.S ITEMS FOR LOWER BUCKSTAYS (PGMA-8913))
1210,"Economiser Headers, Coils and Components (PG-19)",SUP,2023-01-25,2024-11-27,,,PG19,1.9.2.1.1(Water Circulation System)
1211,Economiser Supports above Roof- DD (PGMA-19304),SUP,2023-01-25,2024-03-29,,,19304,"1.9.2.1.1.6(Economiser Headers, Coils and Components (PG-19))"
1212,Engineering,ENG,2023-01-25,2023-08-14,,,19304,1.9.2.1.1.6.1(Economiser Supports above Roof- DD (PGMA-19304))
1213,Manufacturing,MFG,2023-08-15,2024-02-28,,,19304,1.9.2.1.1.6.1(Economiser Supports above Roof- DD (PGMA-19304))
1214,Dispatch,DIS,2024-02-29,2024-03-29,,,19304,1.9.2.1.1.6.1(Economiser Supports above Roof- DD (PGMA-19304))
1215,ECO. LINES & LINKS SUPPORTS-DD (PGMA-19306),SUP,2023-01-25,2024-03-29,,,19306,"1.9.2.1.1.6(Economiser Headers, Coils and Components (PG-19))"
1216,Engineering,ENG,2023-01-25,2023-08-14,,,19306,1.9.2.1.1.6.2(ECO. LINES & LINKS SUPPORTS-DD (PGMA-19306))
1217,Manufacturing,MFG,2023-08-15,2024-02-28,,,19306,1.9.2.1.1.6.2(ECO. LINES & LINKS SUPPORTS-DD (PGMA-19306))
1218,Dispatch,DIS,2024-02-29,2024-03-29,,,19306,1.9.2.1.1.6.2(ECO. LINES & LINKS SUPPORTS-DD (PGMA-19306))
1219,ECO FEED PIPE SUPPORT-DD (PGMA-19307),SUP,2023-01-25,2024-03-29,,,19307,"1.9.2.1.1.6(Economiser Headers, Coils and Components (PG-19))"
1220,Engineering,ENG,2023-01-25,2023-08-14,,,19307,1.9.2.1.1.6.3(ECO FEED PIPE SUPPORT-DD (PGMA-19307))
1221,Manufacturing,MFG,2023-08-15,2024-02-28,,,19307,1.9.2.1.1.6.3(ECO FEED PIPE SUPPORT-DD (PGMA-19307))
1222,Dispatch,DIS,2024-02-29,2024-03-29,,,19307,1.9.2.1.1.6.3(ECO FEED PIPE SUPPORT-DD (PGMA-19307))
1223,ECO HANGER TUBE ATTACHMENT (PGMA-19402),SUP,2023-01-25,2024-03-29,,,19402,"1.9.2.1.1.6(Economiser Headers, Coils and Components (PG-19))"
1224,Engineering,ENG,2023-01-25,2023-08-14,,,19402,1.9.2.1.1.6.4(ECO HANGER TUBE ATTACHMENT (PGMA-19402))
1225,Manufacturing,MFG,2023-08-15,2024-02-28,,,19402,1.9.2.1.1.6.4(ECO HANGER TUBE ATTACHMENT (PGMA-19402))
1226,Dispatch,DIS,2024-02-29,2024-03-29,,,19402,1.9.2.1.1.6.4(ECO HANGER TUBE ATTACHMENT (PGMA-19402))
1227,ECO. LINES & LINKS SUPPORTS-SHOP (PGMA-19506),SUP,2023-01-25,2024-03-29,,,19506,"1.9.2.1.1.6(Economiser Headers, Coils and Components (PG-19))"
1228,Engineering,ENG,2023-01-25,2023-08-14,,,19506,1.9.2.1.1.6.5(ECO. LINES & LINKS SUPPORTS-SHOP (PGMA-19506))
1229,Manufacturing,MFG,2023-08-15,2024-02-28,,,19506,1.9.2.1.1.6.5(ECO. LINES & LINKS SUPPORTS-SHOP (PGMA-19506))
1230,Dispatch,DIS,2024-02-29,2024-03-29,,,19506,1.9.2.1.1.6.5(ECO. LINES & LINKS SUPPORTS-SHOP (PGMA-19506))
1231,ECO FEED PIPE SUPPORT-SHOP (PGMA-19507),SUP,2023-01-25,2024-03-29,,,19507,"1.9.2.1.1.6(Economiser Headers, Coils and Components (PG-19))"
1232,Engineering,ENG,2023-01-25,2023-08-14,,,19507,1.9.2.1.1.6.6(ECO FEED PIPE SUPPORT-SHOP (PGMA-19507))
1233,Manufacturing,MFG,2023-08-15,2024-02-28,,,19507,1.9.2.1.1.6.6(ECO FEED PIPE SUPPORT-SHOP (PGMA-19507))
1234,Dispatch,DIS,2024-02-29,2024-03-29,,,19507,1.9.2.1.1.6.6(ECO FEED PIPE SUPPORT-SHOP (PGMA-19507))
1235,ECONOMISER INLET HEADERS (PGMA-19701),SUP,2023-01-25,2024-09-27,,,19701,"1.9.2.1.1.6(Economiser Headers, Coils and Components (PG-19))"
1236,Engineering,ENG,2023-01-25,2023-11-20,,,19701,1.9.2.1.1.6.7(ECONOMISER INLET HEADERS (PGMA-19701))
1237,Manufacturing,MFG,2023-11-21,2024-08-28,,,19701,1.9.2.1.1.6.7(ECONOMISER INLET HEADERS (PGMA-19701))
1238,Dispatch,DIS,2024-08-29,2024-09-27,,,19701,1.9.2.1.1.6.7(ECONOMISER INLET HEADERS (PGMA-19701))
1239,ECONOMISER OUTLET HEADERS (PGMA-19702),SUP,2023-01-25,2024-03-29,,,19702,"1.9.2.1.1.6(Economiser Headers, Coils and Components (PG-19))"
1240,Engineering,ENG,2023-01-25,2023-08-14,,,19702,1.9.2.1.1.6.8(ECONOMISER OUTLET HEADERS (PGMA-19702))
1241,Manufacturing,MFG,2023-08-15,2024-02-28,,,19702,1.9.2.1.1.6.8(ECONOMISER OUTLET HEADERS (PGMA-19702))
1242,Dispatch,DIS,2024-02-29,2024-03-29,,,19702,1.9.2.1.1.6.8(ECONOMISER OUTLET HEADERS (PGMA-19702))
1243,ECONOMISER INTERMEDIATE HEADER - REAR (PGMA-19753),SUP,2023-01-25,2024-08-29,,,19753,"1.9.2.1.1.6(Economiser Headers, Coils and Components (PG-19))"
1244,Engineering,ENG,2023-01-25,2023-11-05,,,19753,1.9.2.1.1.6.9(ECONOMISER INTERMEDIATE HEADER - REAR (PGMA-19753))
1245,Manufacturing,MFG,2023-11-06,2024-07-30,,,19753,1.9.2.1.1.6.9(ECONOMISER INTERMEDIATE HEADER - REAR (PGMA-19753))
1246,Dispatch,DIS,2024-07-31,2024-08-29,,,19753,1.9.2.1.1.6.9(ECONOMISER INTERMEDIATE HEADER - REAR (PGMA-19753))
1247,ECONOMISER INTERMEDIATE HEADER - FRONT (PGMA-19763),SUP,2023-01-25,2024-08-29,,,19763,"1.9.2.1.1.6(Economiser Headers, Coils and Components (PG-19))"
1248,Engineering,ENG,2023-01-25,2023-11-05,,,19763,1.9.2.1.1.6.10(ECONOMISER INTERMEDIATE HEADER - FRONT (PGMA-19763))
1249,Manufacturing,MFG,2023-11-06,2024-07-30,,,19763,1.9.2.1.1.6.10(ECONOMISER INTERMEDIATE HEADER - FRONT (PGMA-19763))
1250,Dispatch,DIS,2024-07-31,2024-08-29,,,19763,1.9.2.1.1.6.10(ECONOMISER INTERMEDIATE HEADER - FRONT (PGMA-19763))
1251,ECONOMISER INTERMEDIATE HEADER - INTER (PGMA-19783),SUP,2023-01-25,2024-08-29,,,19783,"1.9.2.1.1.6(Economiser Headers, Coils and Components (PG-19))"
1252,Engineering,ENG,2023-01-25,2023-11-05,,,19783,1.9.2.1.1.6.11(ECONOMISER INTERMEDIATE HEADER - INTER (PGMA-19783))
1253,Manufacturing,MFG,2023-11-06,2024-07-30,,,19783,1.9.2.1.1.6.11(ECONOMISER INTERMEDIATE HEADER - INTER (PGMA-19783))
1254,Dispatch,DIS,2024-07-31,2024-08-29,,,19783,1.9.2.1.1.6.11(ECONOMISER INTERMEDIATE HEADER - INTER (PGMA-19783))
1255,HEADERS OF CENTER INTER (PGMA-19793),SUP,2023-01-25,2024-08-29,,,19793,"1.9.2.1.1.6(Economiser Headers, Coils and Components (PG-19))"
1256,Engineering,ENG,2023-01-25,2023-11-05,,,19793,1.9.2.1.1.6.12(HEADERS OF CENTER INTER (PGMA-19793))
1257,Manufacturing,MFG,2023-11-06,2024-07-30,,,19793,1.9.2.1.1.6.12(HEADERS OF CENTER INTER (PGMA-19793))
1258,Dispatch,DIS,2024-07-31,2024-08-29,,,19793,1.9.2.1.1.6.12(HEADERS OF CENTER INTER (PGMA-19793))
1259,ECONOMISER HANGER TUBES (PGMA-19802),SUP,2023-01-25,2024-03-29,,,19802,"1.9.2.1.1.6(Economiser Headers, Coils and Components (PG-19))"
1260,Engineering,ENG,2023-01-25,2023-08-14,,,19802,1.9.2.1.1.6.13(ECONOMISER HANGER TUBES (PGMA-19802))
1261,Manufacturing,MFG,2023-08-15,2024-02-28,,,19802,1.9.2.1.1.6.13(ECONOMISER HANGER TUBES (PGMA-19802))
1262,Dispatch,DIS,2024-02-29,2024-03-29,,,19802,1.9.2.1.1.6.13(ECONOMISER HANGER TUBES (PGMA-19802))
1263,PLAIN TUBE ECONO. UPPER COIL ASSY(LEFT) (PGMA-19814),SUP,2023-01-25,2024-07-29,,,,"1.9.2.1.1.6(Economiser Headers, Coils and Components (PG-19))"
1264,Engineering,ENG,2023-01-25,2023-10-26,,,19814,1.9.2.1.1.6.14(PLAIN TUBE ECONO. UPPER COIL ASSY(LEFT) (PGMA-19814))
1265,Manufacturing,MFG,2023-10-27,2024-06-29,,,19814,1.9.2.1.1.6.14(PLAIN TUBE ECONO. UPPER COIL ASSY(LEFT) (PGMA-19814))
1266,Dispatch,DIS,2024-06-30,2024-07-29,,,19814,1.9.2.1.1.6.14(PLAIN TUBE ECONO. UPPER COIL ASSY(LEFT) (PGMA-19814))
1267,ECO LOWER ASSY -LEFT (PGMA-19824),SUP,2023-01-25,2024-09-27,,,19824,"1.9.2.1.1.6(Economiser Headers, Coils and Components (PG-19))"
1268,Engineering,ENG,2023-01-25,2023-11-20,,,19824,1.9.2.1.1.6.15(ECO LOWER ASSY -LEFT (PGMA-19824))
1269,Manufacturing,MFG,2023-11-21,2024-08-28,,,19824,1.9.2.1.1.6.15(ECO LOWER ASSY -LEFT (PGMA-19824))
1270,Dispatch,DIS,2024-08-29,2024-09-27,,,19824,1.9.2.1.1.6.15(ECO LOWER ASSY -LEFT (PGMA-19824))
1271,ECONOMISER FEED PIPE (PGMA-19850),SUP,2023-01-25,2024-03-29,,,19850,"1.9.2.1.1.6(Economiser Headers, Coils and Components (PG-19))"
1272,Engineering,ENG,2023-01-25,2023-08-14,,,19850,1.9.2.1.1.6.16(ECONOMISER FEED PIPE (PGMA-19850))
1273,Manufacturing,MFG,2023-08-15,2024-02-28,,,19850,1.9.2.1.1.6.16(ECONOMISER FEED PIPE (PGMA-19850))
1274,Dispatch,DIS,2024-02-29,2024-03-29,,,19850,1.9.2.1.1.6.16(ECONOMISER FEED PIPE (PGMA-19850))
1275,LINK FROM ECO OUTLET HEADER TO ECO MIX LINE(PGMA-19851),SUP,2023-01-25,2024-03-29,,,19851,"1.9.2.1.1.6(Economiser Headers, Coils and Components (PG-19))"
1276,Engineering,ENG,2023-01-25,2023-08-14,,,19851,1.9.2.1.1.6.17(LINK FROM ECO OUTLET HEADER TO ECO MIX LINE(PGMA-19851))
1277,Manufacturing,MFG,2023-08-15,2024-02-28,,,19851,1.9.2.1.1.6.17(LINK FROM ECO OUTLET HEADER TO ECO MIX LINE(PGMA-19851))
1278,Dispatch,DIS,2024-02-29,2024-03-29,,,19851,1.9.2.1.1.6.17(LINK FROM ECO OUTLET HEADER TO ECO MIX LINE(PGMA-19851))
1279,ECONOMISER-I TO ECONOMISER-II LINK (PGMA-19852),SUP,2023-01-25,2024-03-29,,,19852,"1.9.2.1.1.6(Economiser Headers, Coils and Components (PG-19))"
1280,Engineering,ENG,2023-01-25,2023-08-14,,,19852,1.9.2.1.1.6.18(ECONOMISER-I TO ECONOMISER-II LINK (PGMA-19852))
1281,Manufacturing,MFG,2023-08-15,2024-02-28,,,19852,1.9.2.1.1.6.18(ECONOMISER-I TO ECONOMISER-II LINK (PGMA-19852))
1282,Dispatch,DIS,2024-02-29,2024-03-29,,,19852,1.9.2.1.1.6.18(ECONOMISER-I TO ECONOMISER-II LINK (PGMA-19852))
1283,ECONOMISER FEED PIPE (PGMA-19853),SUP,2023-01-25,2024-03-29,,,19853,"1.9.2.1.1.6(Economiser Headers, Coils and Components (PG-19))"
1284,Engineering,ENG,2023-01-25,2023-08-14,,,19853,1.9.2.1.1.6.19(ECONOMISER FEED PIPE (PGMA-19853))
1285,Manufacturing,MFG,2023-08-15,2024-02-28,,,19853,1.9.2.1.1.6.19(ECONOMISER FEED PIPE (PGMA-19853))
1286,Dispatch,DIS,2024-02-29,2024-03-29,,,19853,1.9.2.1.1.6.19(ECONOMISER FEED PIPE (PGMA-19853))
1287,ECO INTER ASSY - LEFT (PGMA-19884),SUP,2023-01-25,2024-08-29,,,19884,"1.9.2.1.1.6(Economiser Headers, Coils and Components (PG-19))"
1288,Engineering,ENG,2023-01-25,2023-11-05,,,19884,1.9.2.1.1.6.20(ECO INTER ASSY - LEFT (PGMA-19884))
1289,Manufacturing,MFG,2023-11-06,2024-07-30,,,19884,1.9.2.1.1.6.20(ECO INTER ASSY - LEFT (PGMA-19884))
1290,Dispatch,DIS,2024-07-31,2024-08-29,,,19884,1.9.2.1.1.6.20(ECO INTER ASSY - LEFT (PGMA-19884))
1291,ECONOMISER MISCELLANEOUS COMPONENTS (PGMA-19903),SUP,2023-01-25,2024-10-27,,,19903,"1.9.2.1.1.6(Economiser Headers, Coils and Components (PG-19))"
1292,Engineering,ENG,2023-01-25,2023-12-05,,,19903,1.9.2.1.1.6.21(ECONOMISER MISCELLANEOUS COMPONENTS (PGMA-19903))
1293,Manufacturing,MFG,2023-12-06,2024-09-27,,,19903,1.9.2.1.1.6.21(ECONOMISER MISCELLANEOUS COMPONENTS (PGMA-19903))
1294,Dispatch,DIS,2024-09-28,2024-10-27,,,19903,1.9.2.1.1.6.21(ECONOMISER MISCELLANEOUS COMPONENTS (PGMA-19903))
1295,IP ECONOMISER SUPPORTS & SUSPENSIONS (PGMA-19904),SUP,2023-01-25,2024-03-29,,,19904,"1.9.2.1.1.6(Economiser Headers, Coils and Components (PG-19))"
1296,Engineering,ENG,2023-01-25,2023-08-14,,,19904,1.9.2.1.1.6.22(IP ECONOMISER SUPPORTS & SUSPENSIONS (PGMA-19904))
1297,Manufacturing,MFG,2023-08-15,2024-02-28,,,19904,1.9.2.1.1.6.22(IP ECONOMISER SUPPORTS & SUSPENSIONS (PGMA-19904))
1298,Dispatch,DIS,2024-02-29,2024-03-29,,,19904,1.9.2.1.1.6.22(IP ECONOMISER SUPPORTS & SUSPENSIONS (PGMA-19904))
1299,ECONOMISER COIL SUPPORTS (PGMA-19905),SUP,2023-01-25,2024-03-29,,,19905,"1.9.2.1.1.6(Economiser Headers, Coils and Components (PG-19))"
1300,Engineering,ENG,2023-01-25,2023-08-14,,,19905,1.9.2.1.1.6.23(ECONOMISER COIL SUPPORTS (PGMA-19905))
1301,Manufacturing,MFG,2023-08-15,2024-02-28,,,19905,1.9.2.1.1.6.23(ECONOMISER COIL SUPPORTS (PGMA-19905))
1302,Dispatch,DIS,2024-02-29,2024-03-29,,,19905,1.9.2.1.1.6.23(ECONOMISER COIL SUPPORTS (PGMA-19905))
1303,HP ECO 4 FRONT MODULE COMPONENTS(LEFT) (PGMA-19906),SUP,2023-01-25,2024-03-29,,,19906,"1.9.2.1.1.6(Economiser Headers, Coils and Components (PG-19))"
1304,Engineering,ENG,2023-01-25,2023-08-14,,,19906,1.9.2.1.1.6.24(HP ECO 4 FRONT MODULE COMPONENTS(LEFT) (PGMA-19906))
1305,Manufacturing,MFG,2023-08-15,2024-02-28,,,19906,1.9.2.1.1.6.24(HP ECO 4 FRONT MODULE COMPONENTS(LEFT) (PGMA-19906))
1306,Dispatch,DIS,2024-02-29,2024-03-29,,,19906,1.9.2.1.1.6.24(HP ECO 4 FRONT MODULE COMPONENTS(LEFT) (PGMA-19906))
1307,LP ECONOMISER SUPPORTS & SUSPENSIONS (PGMA-19907),SUP,2023-01-25,2024-03-29,,,19907,"1.9.2.1.1.6(Economiser Headers, Coils and Components (PG-19))"
1308,Engineering,ENG,2023-01-25,2023-08-14,,,19907,1.9.2.1.1.6.25(LP ECONOMISER SUPPORTS & SUSPENSIONS (PGMA-19907))
1309,Manufacturing,MFG,2023-08-15,2024-02-28,,,19907,1.9.2.1.1.6.25(LP ECONOMISER SUPPORTS & SUSPENSIONS (PGMA-19907))
1310,Dispatch,DIS,2024-02-29,2024-03-29,,,19907,1.9.2.1.1.6.25(LP ECONOMISER SUPPORTS & SUSPENSIONS (PGMA-19907))
1311,HP ECONOMISER-II MODULE SUPPORTS (PGMA-19914),SUP,2023-01-25,2024-07-29,,,19914,"1.9.2.1.1.6(Economiser Headers, Coils and Components (PG-19))"
1312,Engineering,ENG,2023-01-25,2023-10-26,,,19914,1.9.2.1.1.6.26(HP ECONOMISER-II MODULE SUPPORTS (PGMA-19914))
1313,Manufacturing,MFG,2023-10-27,2024-06-29,,,19914,1.9.2.1.1.6.26(HP ECONOMISER-II MODULE SUPPORTS (PGMA-19914))
1314,Dispatch,DIS,2024-06-30,2024-07-29,,,19914,1.9.2.1.1.6.26(HP ECONOMISER-II MODULE SUPPORTS (PGMA-19914))
1315,PLAIN TUBE ECO. LOWER ASSY (RIGHT) (PGMA-19924),SUP,2023-01-25,2024-09-27,,,19924,"1.9.2.1.1.6(Economiser Headers, Coils and Components (PG-19))"
1316,Engineering,ENG,2023-01-25,2023-11-20,,,19924,1.9.2.1.1.6.27(PLAIN TUBE ECO. LOWER ASSY (RIGHT) (PGMA-19924))
1317,Manufacturing,MFG,2023-11-21,2024-08-28,,,19924,1.9.2.1.1.6.27(PLAIN TUBE ECO. LOWER ASSY (RIGHT) (PGMA-19924))
1318,Dispatch,DIS,2024-08-29,2024-09-27,,,19924,1.9.2.1.1.6.27(PLAIN TUBE ECO. LOWER ASSY (RIGHT) (PGMA-19924))
1319,ECO INTER ASSY - RIGHT (PGMA-19984),SUP,2023-01-25,2024-08-29,,,19984,"1.9.2.1.1.6(Economiser Headers, Coils and Components (PG-19))"
1320,Engineering,ENG,2023-01-25,2023-11-05,,,19984,1.9.2.1.1.6.28(ECO INTER ASSY - RIGHT (PGMA-19984))
1321,Manufacturing,MFG,2023-11-06,2024-07-30,,,19984,1.9.2.1.1.6.28(ECO INTER ASSY - RIGHT (PGMA-19984))
1322,Dispatch,DIS,2024-07-31,2024-08-29,,,19984,1.9.2.1.1.6.28(ECO INTER ASSY - RIGHT (PGMA-19984))
1323,ECONOMISER IMPORTED ELECTRODES (PGMA-19991),SUP,2023-01-25,2024-03-29,,,19991,"1.9.2.1.1.6(Economiser Headers, Coils and Components (PG-19))"
1324,Engineering,ENG,2023-01-25,2023-08-14,,,19991,1.9.2.1.1.6.29(ECONOMISER IMPORTED ELECTRODES (PGMA-19991))
1325,Manufacturing,MFG,2023-08-15,2024-02-28,,,19991,1.9.2.1.1.6.29(ECONOMISER IMPORTED ELECTRODES (PGMA-19991))
1326,Dispatch,DIS,2024-02-29,2024-03-29,,,19991,1.9.2.1.1.6.29(ECONOMISER IMPORTED ELECTRODES (PGMA-19991))
1327,IMPORTED ELECTRODES (PGMA-19992),SUP,2023-01-25,2024-11-27,,,19992,"1.9.2.1.1.6(Economiser Headers, Coils and Components (PG-19))"
1328,Engineering,ENG,2023-01-25,2023-12-20,,,19992,1.9.2.1.1.6.30(IMPORTED ELECTRODES (PGMA-19992))
1329,Manufacturing,MFG,2023-12-21,2024-10-28,,,19992,1.9.2.1.1.6.30(IMPORTED ELECTRODES (PGMA-19992))
1330,Dispatch,DIS,2024-10-29,2024-11-27,,,19992,1.9.2.1.1.6.30(IMPORTED ELECTRODES (PGMA-19992))
1331,Boiler Integral Piping and Fittings (PG-24),SUP,2022-09-27,2025-11-11,,,PG24,1.9.2.1.1(Water Circulation System)
1332,BOILER FILLING PIPING (PGMA-24350),SUP,2023-01-25,2024-10-27,,,24350,1.9.2.1.1.7(Boiler Integral Piping and Fittings (PG-24))
1333,Engineering,ENG,2023-01-25,2023-12-05,,,24350,1.9.2.1.1.7.1(BOILER FILLING PIPING (PGMA-24350))
1334,Manufacturing,MFG,2023-12-06,2024-09-27,,,24350,1.9.2.1.1.7.1(BOILER FILLING PIPING (PGMA-24350))
1335,Dispatch,DIS,2024-09-28,2024-10-27,,,24350,1.9.2.1.1.7.1(BOILER FILLING PIPING (PGMA-24350))
1336,HANGERS+SUPPORTS FOR BLR FILLING PIPING (PGMA-24351),SUP,2023-01-25,2024-10-27,,,24351,1.9.2.1.1.7(Boiler Integral Piping and Fittings (PG-24))
1337,Engineering,ENG,2023-01-25,2023-12-05,,,24351,1.9.2.1.1.7.2(HANGERS+SUPPORTS FOR BLR FILLING PIPING (PGMA-24351))
1338,Manufacturing,MFG,2023-12-06,2024-09-27,,,24351,1.9.2.1.1.7.2(HANGERS+SUPPORTS FOR BLR FILLING PIPING (PGMA-24351))
1339,Dispatch,DIS,2024-09-28,2024-10-27,,,24351,1.9.2.1.1.7.2(HANGERS+SUPPORTS FOR BLR FILLING PIPING (PGMA-24351))
1340,BOILER FILL PIPING - DD (PGMA-24352),SUP,2023-01-25,2024-10-27,,,24352,1.9.2.1.1.7(Boiler Integral Piping and Fittings (PG-24))
1341,Engineering,ENG,2023-01-25,2023-12-05,,,24352,1.9.2.1.1.7.3(BOILER FILL PIPING - DD (PGMA-24352))
1342,Manufacturing,MFG,2023-12-06,2024-09-27,,,24352,1.9.2.1.1.7.3(BOILER FILL PIPING - DD (PGMA-24352))
1343,Dispatch,DIS,2024-09-28,2024-10-27,,,24352,1.9.2.1.1.7.3(BOILER FILL PIPING - DD (PGMA-24352))
1344,HANGERS & SUPPORTS FOR BOILER FILL PIPING - OS (PGMA-24353),SUP,2023-01-25,2024-10-27,,,24353,1.9.2.1.1.7(Boiler Integral Piping and Fittings (PG-24))
1345,Engineering,ENG,2023-01-25,2023-12-05,,,24353,1.9.2.1.1.7.4(HANGERS & SUPPORTS FOR BOILER FILL PIPING - OS (PGMA-24353))
